question,keywords,your_answer,score,percentage_for_question,matched_unweighted,total_keywords,matched_weight,total_weight,details
What is photosynthesis?,plants:2; sunlight|solar energy; carbon dioxide:2; water; food,photosynthesis takes in sun light and convert it into food,1.43,14.29,1,5,1.0,7.0,"[{'alts': ['plants'], 'weight': 2.0, 'matched_alt': None, 'matched': False}, {'alts': ['sunlight', 'solar energy'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['carbon dioxide'], 'weight': 2.0, 'matched_alt': None, 'matched': False}, {'alts': ['water'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['food'], 'weight': 1.0, 'matched_alt': 'food', 'matched': True}]"
Who proposed the theory of relativity?,albert|albert einstein|einstein:2,,0.0,0.0,0,1,0.0,2.0,"[{'alts': ['albert', 'albert einstein', 'einstein'], 'weight': 2.0, 'matched_alt': None, 'matched': False}]"
State Newton's second law.,force:2; mass; acceleration:2; proportional|proportional to,Newton's second law of motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass,10.0,100.0,4,4,6.0,6.0,"[{'alts': ['force'], 'weight': 2.0, 'matched_alt': 'force', 'matched': True}, {'alts': ['mass'], 'weight': 1.0, 'matched_alt': 'mass', 'matched': True}, {'alts': ['acceleration'], 'weight': 2.0, 'matched_alt': 'acceleration', 'matched': True}, {'alts': ['proportional', 'proportional to'], 'weight': 1.0, 'matched_alt': 'proportional', 'matched': True}]"
What is the capital of France?,paris:2,,0.0,0.0,0,1,0.0,2.0,"[{'alts': ['paris'], 'weight': 2.0, 'matched_alt': None, 'matched': False}]"
What does CPU stand for?,central processing unit:2,central prosseing unit,0.0,0.0,0,1,0.0,2.0,"[{'alts': ['central processing unit'], 'weight': 2.0, 'matched_alt': None, 'matched': False}]"
What is the chemical formula of water?,h2o:2; water,,0.0,0.0,0,2,0.0,3.0,"[{'alts': ['h2o'], 'weight': 2.0, 'matched_alt': None, 'matched': False}, {'alts': ['water'], 'weight': 1.0, 'matched_alt': None, 'matched': False}]"
Define osmosis.,semipermeable|semi permeable membrane:2; solvent; low concentration|lower concentration; high concentration|higher concentration,the movement of water molecules across a semipermeable membrane from an area of high water concentration (or low solute concentration) to an area of low water concentration,4.0,40.0,1,4,2.0,5.0,"[{'alts': ['semipermeable', 'semi permeable membrane'], 'weight': 2.0, 'matched_alt': 'semipermeable', 'matched': True}, {'alts': ['solvent'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['low concentration', 'lower concentration'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['high concentration', 'higher concentration'], 'weight': 1.0, 'matched_alt': None, 'matched': False}]"
Define mitosis.,cell division:2; nucleus; chromosomes; identical|two identical cells,,0.0,0.0,0,4,0.0,5.0,"[{'alts': ['cell division'], 'weight': 2.0, 'matched_alt': None, 'matched': False}, {'alts': ['nucleus'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['chromosomes'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['identical', 'two identical cells'], 'weight': 1.0, 'matched_alt': None, 'matched': False}]"
What does HTTP stand for?,hypertext transfer protocol:2,,0.0,0.0,0,1,0.0,2.0,"[{'alts': ['hypertext transfer protocol'], 'weight': 2.0, 'matched_alt': None, 'matched': False}]"
Who created the Python programming language?,guido van rossum:2; van rossum|guido,Guido van Rossum,10.0,100.0,2,2,3.0,3.0,"[{'alts': ['guido van rossum'], 'weight': 2.0, 'matched_alt': 'guido van rossum', 'matched': True}, {'alts': ['van rossum', 'guido'], 'weight': 1.0, 'matched_alt': 'van rossum', 'matched': True}]"
